year,NULL,ADD_S,ADD_N,ADD_EN,ADD_NEN,DEL_US_ADD_EN,DEL_UM_ADD_EN,DEL_UM_ADD_A,DEL_E,DEL_A_ADD_EN,ADD_E,UMLAUT_ADD_E,DEL_ON_ADD_EN,ADD_ES,UMLAUT_ADD_ER,DEL_EN,DEL_ON_ADD_A,ADD_ER,ADD_IEN,DEL_E_ADD_I
1995,0.7731638,0.1126737,0.0469823,0.0284408,0.0000827,0.0000464,0.0020597,0.0000262,0.0004640,0.0009421,0.0104479,0.0011338,0.0000000,0.0079121,0.0020093,0.0000948,0.0000000,0.0134538,0.0000666,0.0000000
1996,0.7756691,0.1110050,0.0466630,0.0280435,0.0000964,0.0000628,0.0018957,0.0000377,0.0005006,0.0010494,0.0101675,0.0011416,0.0000000,0.0081504,0.0020025,0.0001026,0.0000000,0.0133451,0.0000670,0.0000000
1997,0.7794272,0.1099862,0.0452337,0.0276571,0.0000726,0.0000396,0.0020588,0.0000396,0.0004487,0.0009722,0.0104259,0.0011834,0.0000000,0.0077116,0.0021754,0.0000902,0.0000000,0.0124252,0.0000528,0.0000000
1998,0.7815444,0.1113338,0.0436771,0.0264580,0.0000571,0.0000549,0.0021971,0.0000483,0.0004636,0.0011205,0.0102585,0.0011535,0.0000000,0.0076219,0.0019357,0.0000901,0.0000000,0.0119305,0.0000549,0.0000000
1999,0.7823677,0.1107160,0.0442203,0.0265052,0.0000621,0.0000709,0.0022125,0.0000399,0.0004256,0.0010685,0.0098363,0.0011506,0.0000000,0.0076150,0.0017802,0.0000687,0.0000000,0.0117916,0.0000687,0.0000000
2000,0.7818333,0.1102693,0.0446074,0.0263272,0.0000656,0.0000633,0.0023650,0.0000362,0.0003663,0.0011825,0.0102853,0.0011079,0.0000000,0.0076806,0.0020123,0.0000791,0.0000000,0.0116645,0.0000543,0.0000000
2001,0.7831291,0.1080705,0.0456874,0.0261305,0.0000651,0.0000539,0.0022144,0.0000517,0.0004087,0.0011476,0.0102052,0.0012622,0.0000000,0.0075079,0.0018865,0.0000831,0.0000000,0.0120400,0.0000561,0.0000000
2002,0.7831425,0.1073687,0.0454641,0.0263618,0.0000724,0.0000420,0.0022719,0.0000630,0.0004180,0.0011675,0.0100147,0.0011255,0.0000000,0.0081233,0.0019380,0.0000794,0.0000000,0.0122959,0.0000514,0.0000000
2003,0.7803154,0.1097643,0.0457720,0.0268304,0.0000709,0.0000615,0.0020479,0.0000307,0.0004398,0.0010807,0.0104971,0.0012060,0.0000000,0.0077422,0.0020006,0.0001040,0.0000000,0.0119751,0.0000615,0.0000000
2004,0.7852276,0.1050324,0.0443326,0.0275723,0.0000994,0.0000791,0.0018171,0.0000497,0.0005040,0.0010735,0.0101430,0.0012566,0.0000000,0.0078536,0.0020679,0.0000994,0.0000000,0.0127375,0.0000542,0.0000000
